id, followers_count, following_count, tweet_count
34113932,106,555,1199
34155399,896,380,154747
34166556,86,380,3395
34201108,673,816,56244
34336301,3611,311,36981
34455479,404296,446,13862
34535736,260,506,20055
34537285,17674,1111,5238
34541310,845,706,4719
34711513,4662,2871,39228
34800314,59,601,1028
34811694,2531,4422,5366
34831876,421,358,16314
35331517,22,21,10752
35401684,275,540,75252
35573175,279,1613,10358
35710956,26334,3823,174898
35722536,466,918,7710
35744627,7229,7320,100253
35744749,21726,987,216174
35747619,206,452,12928
35772042,39371,451,7844
35772879,3310,3008,10901
35795007,1443,499,48997
35806176,248,1538,40188
35839931,29679,995,154042
35854291,6280,638,81306
35859008,1429,2384,16524
35879368,178,319,2526
35881724,2157,2168,90435
35925409,1851,2207,44303
35936739,70,513,459
35936951,611,1272,31545
35961319,5060,5529,369625
35962534,809,2287,30065
35988310,1733,2723,50529
35989573,4251,4924,35769
36001888,5776,4728,550718
36044876,1009,1802,19154
36046069,542,456,1298
36049904,46119,4440,39971
36058952,779,958,54600
36089412,50860,489,268652
36120454,5086,2912,23445
36146999,2964,4997,483872
36161999,234,493,13179
36218378,2280,4416,140209
36248417,542,1211,56546
36274879,2177,2492,127007
36391714,326774,1129,48238
36410389,15621,11722,59152
36413076,222,936,3143
36488717,284,723,16502
36514914,8681,728,81852
36532644,3392,4992,218919
36556932,144145,8439,113126
36557258,115,838,1579
36585564,397,996,11482
36595172,1099,435,3130
36671364,164,774,3628
36734729,8398,4524,48229
36804844,257,568,6649
36837073,225,638,7399
36957720,431,961,26680
37024167,2433,4985,73433
37078393,7567,6885,248084
37082337,2302,2569,125378
37088458,310,534,9387
37094608,9670,4478,44212
37096159,600,438,23401
37097955,2452,1554,180698
37121841,47,91,122
37151624,134,260,9476
37201763,1141,990,34519
37216149,116,1555,7677
37269026,1397,1208,118255
37279501,770,738,40084
37283563,2949,502,109456
37308454,708,699,870
37311476,38113,1611,54450
37318224,5790,6371,121997
37319278,302,1121,23210
37322847,119,243,14456
37337732,46,214,5101
37404217,11704,5695,71852
37405029,557,1265,35624
37450522,30233,531,320236
37522926,201,546,12456
37529477,284038,1370,259820
37769940,3690,4114,59384
37821214,531,1400,70622
37823603,807,648,45533
37839127,620,1916,25428
37932263,152,485,11813
38015346,2130,2953,26068
38032803,189,759,342
38214151,2530,4303,89389
38284709,1147,801,92753
38374195,834,2548,38890
38434834,4197,557,97110
38436714,10384,838,239647
38481918,10509,10143,326954
38494089,201021,4642,27317
38512990,454932,962,135806
38602642,7016,1192,161662
38690656,1364,4738,55886
38737506,1896,2251,41830
38965237,2827,4917,42558
39105142,1812,972,64833
39127578,313,414,10822
39339002,2175,1138,111378
39478292,1691,3822,9331
39532872,225,142,14773
39534309,469,864,18782
39824642,76,844,3477
39842539,9768,838,91460
39924745,79,100,2445
39992105,69,205,10
40069074,184,652,1785
40132019,3465,3454,15402
40149883,259,102,1059
40269645,484,647,31575
40378778,14147,13923,97399
40465396,551,4735,51705
40501695,494,4298,26057
40588875,25,293,22942
40589127,1313,451,50380
40700714,772,1016,23842
40713106,2599,2957,137219
40790899,2027,2823,3583
40803070,7432,6600,5648
40858089,246647,2005,23913
40864937,1412,455,92211
41023765,4511,3745,15380
41113764,1067,2175,28554
41146354,858,3896,62831
41167580,640,668,53030
41174008,22,20,1576
41192889,31,263,995
41237821,561,3006,34682
41245253,677,1705,19171
41256090,3597,1066,28402
41292413,905,938,4001
41355007,409,663,21308
41689226,83,1096,2831
41724849,1974,430,80903
41741047,406,1019,58046
41748789,5163,911,6405
41754671,4387,4739,19118
41915582,6020,4240,146070
41953430,794,820,13526
42007034,162,744,7620
42039065,85,559,14401
42090271,172,604,11647
42108046,3307,2267,30200
42248203,135,211,9923
42329282,1195,4151,51366
42334264,86,355,1339
42358466,257,3329,17297
42430653,4252,4996,154103
42432814,214,180,24621
42470637,86141,727,8955
42487698,1199,2313,6265
42540018,500,486,23668
42563688,784,2513,20042
42598744,53485,1632,389872
42602048,2572,529,50411
42648980,5929,1230,233555
42710110,789,861,38107
42802925,197,2551,1098
42868982,4165,1914,209187
42923085,34638,1712,137481
42949815,1857,3735,37983
42995297,48748,122,41179
43192502,303,336,3836
43231613,775,1642,37740
43410639,302,1456,17301
43559782,266,364,19880
43620417,14052,1000,60843
43746288,3408,3391,66336
43814969,393873,537,144932
43927875,1675,3543,23553
43961339,624,682,12738
43968505,195,457,12543
44155960,385,595,5709
44223209,11423,672,58984
44426825,756,669,67721
44637884,264,440,31598
44660072,3562,2366,147798
44763881,230,448,3156
44777720,610,723,5113
45452139,1207,4997,62809
45453440,463,1238,67841
45497378,9305,2391,32915
45541470,13866,7405,334772
45680767,3900,880,54420
45722352,821,582,758
45840788,28571,7819,8604
45882890,433,483,23863
45936838,2289,1240,195947
45981105,517,970,60975
46272035,346,423,17836
46672962,210,1375,8248
46709068,941,661,108750
46907021,399,703,37305
46907238,199,1031,5652
47073792,364,190,2079
47111014,122,337,1279
47126795,984,2297,15088
47129519,50,948,1856
47137058,574,3359,16303
47195439,333,2237,35321
47213237,134,632,6247
47237476,717,2081,36919
47362282,333,1415,57898
47522118,5515,5612,57203
47616949,6674,555,100096
47787462,673,631,101235
47789476,589,1840,59036
47991941,1417,725,97682
47992927,1148,1236,94290
48186500,536,1626,11045
48225566,1510,2752,206195
48276887,3324,3081,47297
48345780,140960,1541,76089
48351046,525,1035,57050
48373240,1479,4997,89826
48454659,13132,2609,99778
48486293,143,309,28661
48542150,363,2030,4020
48566883,325,808,11589
48797824,118,967,2950
48889425,775,807,73967
48908971,566,710,25927
48919775,30043,1404,17341
49026119,15946,9858,102829
49035872,47617,11662,91272
49153460,69674,1309,73512
49197805,19296,382,92015
49262643,382,1301,22684
49458626,522,660,14304
49502816,28457,2779,48918
49506633,1992,2829,26864
49507127,357,573,30547
49697215,42650,5701,73857
49723929,1002,163,10425
49864394,4508,5000,426210
50049404,200,312,31337
50065150,84238,3467,2683
50106597,4944,965,159389
50112043,196,411,26855
50126679,2958162,96,300654
50174213,82,382,272
50181528,108,419,2190
50191660,800,1584,59725
50216149,4620,1697,21576
50305808,1953,857,48004
50349344,987,963,38158
50349503,472,374,21184
50404817,264466,352,20544
50406560,46641,1308,88053
50411946,1040,1029,4865
50433755,1192,223,2703
50457238,373,668,1884
50671036,241,186,37026
50678035,446,1513,15322
50724992,717,1015,11265
50741155,1016,163,50350
50746196,345,867,6350
50884139,6618,781,43233
50918449,70342,451,188718
50936253,462,494,186207
51041781,1061,780,96363
51215509,1388,306,8810
51254245,73,427,1919
51254300,1949,930,31155
51265953,3703,609,209129
51301441,1715,4955,53711
51375179,1706,1796,41548
51443071,2192,4993,134446
51513915,90,458,38712
51527125,278,1685,9044
51589783,1834,1563,129522
51603395,2678,2927,58804
51615983,318,2225,13601
51635581,2136,1791,101752
51714340,169935,2848,24650
51729558,362,1454,43940
51747168,891,870,6205
51758758,127,646,6205
51770491,453,411,22973
51781634,120,363,23854
51793756,238,1729,19820
51811609,1778,5002,49270
51826447,870,745,81076
51829175,424,499,28021
51829882,207,378,1627
51846587,1677,1796,111389
51848857,969,1961,42263
51864348,4446,5001,62958
51882574,1391,1353,57071
51890039,500325,36063,46834
51925267,12489,13672,186756
51925784,772,1753,17594
51945208,689,663,17918
51971734,2420,2013,59455
51973139,7183,1322,11765
52124060,864,5003,51072
52175289,846,707,39044
52243385,41302,5087,272408
52360305,1414,2033,154328
52439980,66067,2867,13127
52485389,80,198,38935
52488667,494,403,9845
52533349,889,970,18200
52645830,295,341,94179
52694245,553,444,50094
52735602,3274,356,59190
52772832,20486,1088,41534
52797283,10522,11471,160354
52810214,4120,626,75186
52820630,36708,3056,55189
52868420,626,1682,58550
52925848,846,1132,49799
52943109,252,866,7329
52962271,5287,1791,20585
53093507,424,665,7201
53123084,9503,6001,173922
53359997,583,408,141143
53383174,2079,705,33248
53431401,1085,570,42179
53448632,364,1154,33843
53456487,294,458,1569
53474640,1146,1169,26414
53484839,671,1486,34973
53513311,66,189,15986
53518873,2848,612,111436
53542149,342,713,4175
53544498,1254,860,5292
53552687,252,369,16720
53553846,4769,5176,222931
53580228,1665,257,85168
53604588,477,1365,17721
53814128,515,177,27660
53924426,6338,6313,47042
54035352,12860,8264,131048
54037018,381,266,86861
54042105,11945,11493,187109
54046802,402,518,7802
54047691,1361,838,114343
54079349,477,2433,6628
54103935,18966,353,204919
54249621,786,878,3916
54300226,7305,995,95427
54400625,1722,515,42995
54402774,527,420,37366
54414081,1278878,1436,29246
54518029,1929,3177,28961
54578941,78144,842,203158
54591877,462,1091,41159
54646446,14390,2508,39950
54714649,902,1530,13615
54901598,394,453,37902
54987976,1198,1130,20951
55023471,146681,4002,17500
55032234,243,585,7422
55046587,15849,229,56953
55088813,330,490,15623
55110709,2939,3269,38109
55145303,3529,1729,65240
55171595,245,918,16185
55429963,64,220,1458
55589781,2665,4598,22580
55698575,222,289,17910
55757292,1305,565,89700
56017912,133,693,5020
56250224,17909,17725,24786
56288281,544,1152,37477
56409801,320,405,58669
56505676,1702,1149,27689
56633801,8722,1807,201602
56776483,1510,1458,19378
56818132,203668,233,26677
56889691,77,71,18393
56902543,2178,4399,41147
56952722,543,788,16305
57044847,430,267,24194
57058726,532,369,25755
57061623,1262,4434,64869
57193617,297,501,18135
57242581,279,502,33043
57256574,103,871,8162
57328871,210,539,15584
57335939,268,677,8313
57337967,880,1845,27234
57346107,1767,2504,15212
57418188,18305,5356,25073
57462693,17,16,431
57482778,14,62,830
57592642,931,1173,103105
57741786,692,360,25762
57918051,1175,2784,58234
58052324,638,888,50589
58065646,780,1103,44140
58115211,419,467,98274
58119412,4709,5136,50361
58127090,4995,4385,417813
58291527,636,1390,26735
58309441,425,1586,6036
58321688,4091,4818,4220
58422910,791,1012,8879
58530085,8383,5308,20577
58711081,532,3897,31881
58847915,45104,4083,104036
58856131,1178,4195,10362
58990105,12774,686,53369
59056444,3542,1043,8190
59121315,1068,3695,36184
59268888,1682,2291,94637
59423667,86,123,2558
59576393,209,577,6369
59632069,24792,5774,136086
59787383,14776,13653,422139
59823363,966,478,35321
59844693,61,130,571
